app, ddr_ipc, cxl_ipc,ddr_mbw,cxl_mbw,ddr_mlat,cxl_mlat,ddr_st,cxl_st,ddr_st_p90,cxl_st_p90
mose,0.35682,1.106062,32.7338,22.441,713,182.1,8304,2616,10484,3830
imgd,0.368899,1.001474,32.4353,21.7806,340.1,132.3,0,0,,
cc,0.674596,1.359378,27.4275,13.3665,263.6,128.5,,,,
bc,0.21818,0.396122,24.348,10.0093,271.5,124,0,0,,
masst,0.373681,0.604092,23.9778,15.4015,241.1,133,238,121,343,127
pr,0.536243,0.819228,26.698,10.8331,204.8,116.5,0,0,,
tc,1.001053,1.33487,27.1543,8.6322,159.2,105,0,0,,
sphx,0.545072,0.693196,22.3316,7.079,190,113,0,0,,
bfs,1.241011,1.549528,15.2211,3.0622,160,106,0,0,,
mica,1.065,1.2,13.9,3.63,119.9,105.5,0,0,,
xapn,1.771577,1.788797,11.6107,2.9771,158,111,3337,3330,6240,6228
